<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,1,20180904,09:31:00,228.3900000,228.4200000,227.8800000,228.3100000,19821
US2.AAPL,1,20180904,09:32:00,228.2900000,228.8100000,228.2900000,228.7000000,20807
US2.AAPL,1,20180904,09:33:00,228.6400000,228.9400000,228.5100000,228.5200000,15036
US2.AAPL,1,20180904,09:34:00,228.5000000,228.5800000,228.3600000,228.4700000,8000
US2.AAPL,1,20180904,09:35:00,228.3700000,228.5800000,228.3700000,228.4600000,8126
US2.AAPL,1,20180904,09:36:00,228.3800000,228.4200000,227.3800000,227.3800000,31516
US2.AAPL,1,20180904,09:37:00,227.3900000,227.8400000,227.3300000,227.6600000,14342
US2.AAPL,1,20180904,09:38:00,227.7300000,227.9000000,227.6600000,227.8600000,9789
US2.AAPL,1,20180904,09:39:00,227.8300000,227.8300000,227.6100000,227.7400000,8202
US2.AAPL,1,20180904,09:40:00,227.7300000,227.7500000,226.9000000,226.9800000,23335
US2.AAPL,1,20180904,09:41:00,226.9900000,227.0600000,226.7300000,226.7400000,8156
US2.AAPL,1,20180904,09:42:00,226.7100000,227.0900000,226.6400000,226.9400000,12045
US2.AAPL,1,20180904,09:43:00,227.0300000,227.1800000,226.9900000,227.1000000,11020
US2.AAPL,1,20180904,09:44:00,227.1000000,227.5900000,227.1000000,227.5000000,7214
US2.AAPL,1,20180904,09:45:00,227.4700000,227.5700000,227.3000000,227.3100000,8821
US2.AAPL,1,20180904,09:46:00,227.2900000,227.3700000,227.2400000,227.3700000,10961
US2.AAPL,1,20180904,09:47:00,227.3900000,227.6000000,227.3500000,227.5900000,8545
US2.AAPL,1,20180904,09:48:00,227.6000000,227.6100000,227.4000000,227.5100000,14137
US2.AAPL,1,20180904,09:49:00,227.4900000,227.4900000,227.3500000,227.4200000,7900
US2.AAPL,1,20180904,09:50:00,227.4000000,227.4800000,227.2500000,227.4000000,9353
US2.AAPL,1,20180904,09:51:00,227.3700000,227.3700000,227.1900000,227.2500000,14183
US2.AAPL,1,20180904,09:52:00,227.2600000,227.2600000,227.1300000,227.2200000,9919
US2.AAPL,1,20180904,09:53:00,227.2300000,227.2900000,227.0700000,227.0700000,10641
